BSC1st Year 2021-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Student Detail,,,,,Physics,,,,Mathematics,,,Chemistry,,,,Computer Science,,,,Psychology,,,Defence Studies,,,Statistics,,,Anthropology,,,Biochemistry,,,,Botany,,,,Zoology,,,,Geography,,,Geology,,,
2202563,U2112446,247,247,Passed,19,18,23,26,04,22,21,--,--,--,--,--,--,--,--,--,--,--,40,37,37,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2202564,U2112532,291,291,Passed,28,17,26,27,18,32,25,27,22,27,42,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2202565,U2112125,269,269,Elig/SE,23,22,23,9,31,33,23,--,--,--,--,--,--,--,--,--,--,--,--,--,--,37,30,38,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2202566,U2112517,256,256,Passed,15,26,25,31,09,21,21,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,21,18,27,42
2202567,U2112266,246,246,Passed,16,5,20,30,28,29,21,--,--,--,--,--,--,--,--,--,--,--,--,--,--,33,25,39,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2202568,U2112081,158,158,Elig/SE,12,5,17,AA,17,31,5,21,3,11,36,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2202569,U2112528,205,205,Elig/SE,15,5,21,25,09,10,06,--,--,--,--,--,--,--,--,--,--,--,37,40,37,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2202570,U2112306,AA,AA,Absent,AA,AA,AA,AA,AA,AA,AA,--,--,--,--,--,--,--,--,--,--,--,AA,AA,AA,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2202571,U2112101,AA,AA,Absent,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2202572,U2112422,AA,AA,Absent,AA,AA,AA,AA,AA,AA,AA,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,AA,AA,AA,AA
2202573,U2112599,294,294,Passed,20,13,19,34,34,36,38,21,22,19,38,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2202574,U2112413,AA,AA,Absent,AA,AA,AA,AA,AA,AA,AA,--,--,--,--,AA,AA,AA,AA,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2202575,U2112438,AA,AA,Absent,AA,AA,AA,AA,AA,AA,AA,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,AA,AA,AA,--,--,--,--
2202576,U2110092,148,148,Failed,--,--,--,--,--,--,--,13,4,4,37,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,6,10,5,11,11,12,9,26,--,--,--,--,--,--,--
2202577,U2112164,181,181,Failed,4,4,23,34,12,11,13,18,13,13,36,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2202578,U2112186,324,324,Passed,26,15,26,42,39,16,40,29,19,32,40,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2202579,U2112024,AA,AA,Absent,AA,AA,AA,AA,AA,AA,AA,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,AA,AA,AA,AA
2202580,U2112475,167,167,Elig/SE,5,15,15,23,5,0,23,17,15,12,37,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2202581,U2112373,AA,AA,Absent,AA,AA,AA,AA,AA,AA,AA,--,--,--,--,--,--,--,--,--,--,--,AA,AA,AA,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2202582,U2110198,218,218,Passed,--,--,--,--,--,--,--,19,6,17,37,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,11,13,11,30,15,19,15,25,--,--,--,--,--,--,--
2202583,U2112375,56,56,Failed,AA,AA,AA,17,AA,AA,AA,AA,AA,AA,39,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2202584,U2110058,AA,AA,Absent,--,--,--,--,--,--,--,AA,AA,AA,AA,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,AA,AA,AA,AA,AA,AA,AA,AA,--,--,--,--,--,--,--
2202585,U2112231,243,243,Passed,20,16,21,29,24,14,29,25,9,21,35,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2202586,U2112604,162,162,Failed,18,6,21,26,5,0,17,18,7,6,38,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2202587,U2112663,268,268,Passed,18,19,27,33,11,31,25,28,16,21,39,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2202588,U2112454,AA,AA,Absent,AA,AA,AA,AA,AA,AA,AA,--,--,--,--,AA,AA,AA,AA,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2202589,U2112652,AA,AA,Absent,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2202590,U2112610,AA,AA,Absent,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2202591,U2112377,153,153,Failed,6,7,18,35,0,6,5,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20,12,12,32
2202592,U2112527,177,177,Failed,--,--,--,--,09,10,11,--,--,--,--,20,17,19,35,19,37,AA,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2202593,U2112331,172,172,Failed,5,2,16,40,06,23,04,20,5,11,40,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2202594,U2112310,232,232,Passed,19,6,20,40,15,21,36,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,17,13,12,33
2202595,U2110076,206,206,Elig/SE,--,--,--,--,--,--,--,23,10,6,37,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,6,14,5,22,16,26,18,23,--,--,--,--,--,--,--
2202596,U2112046,290,290,Passed,26,17,26,43,29,31,24,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,32,30,32,--,--,--,--
2202597,U2110221,184,184,Elig/SE,--,--,--,--,--,--,--,10,10,18,24,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,19,12,8,11,19,12,16,25,--,--,--,--,--,--,--
2202598,U2112365,264,264,Passed,12,16,25,29,27,27,27,--,--,--,--,--,--,--,--,--,--,--,36,28,37,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2202599,U2112128,AA,AA,Absent,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2202600,U2112484,258,258,Passed,20,11,21,22,34,26,28,19,11,26,40,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2202601,U2112170,AA,AA,Absent,--,--,--,--,AA,AA,AA,--,--,--,--,AA,AA,AA,AA,AA,AA,AA,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2202602,U2112548,193,193,Elig/SE,6,2,18,29,22,8,31,15,13,11,38,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2202603,U2110113,208,208,Elig/SE,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,30,22,31,--,--,--,--,7,12,6,23,17,13,15,32,--,--,--,--,--,--,--
2202604,U2112353,331,331,Passed,27,17,27,33,41,31,37,26,28,26,38,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2202605,U2110264,248,248,Passed,--,--,--,--,--,--,--,25,26,23,39,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,11,15,13,25,14,18,15,24,--,--,--,--,--,--,--
2202606,U2112480,AA,AA,Absent,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2202607,U2112472,122,122,Failed,AA,AA,AA,23,AA,AA,AA,18,23,19,39,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2202608,U2110098,187,187,Failed,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,19,27,32,--,--,--,--,--,--,--,--,--,--,7,13,5,24,7,11,13,29,--,--,--,--,--,--,--
2202609,U2112457,AA,AA,Absent,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2202610,U2112597,265,265,Passed,20,11,24,29,17,24,18,28,29,24,41,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2202611,U2112439,223,223,Elig/SE,11,14,24,35,03,12,25,23,19,17,40,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2202612,U2112700,190,190,Failed,5,1,17,30,03,09,25,19,24,14,43,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2202613,U2112614,AA,AA,Absent,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2202614,U2112412,159,159,Elig/SE,--,--,--,--,02,04,07,--,--,--,--,17,12,7,28,26,28,28,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2202615,U2112357,252,252,Passed,16,11,18,22,28,18,35,21,20,23,40,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2202616,U2112676,232,232,Passed,12,4,22,40,17,24,13,23,20,17,40,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2202617,U2112461,AA,AA,Absent,AA,AA,AA,AA,AA,AA,AA,--,--,--,--,AA,AA,AA,AA,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2202618,U2112693,154,154,Failed,11,1,13,21,13,8,8,13,14,15,37,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2202619,U2112039,296,296,Passed,17,12,24,28,35,25,42,26,27,20,40,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2202620,U2112425,206,206,Passed,12,3,24,26,17,22,21,--,--,--,--,22,16,14,29,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2202621,U2112048,322,322,Passed,24,20,24,34,25,32,39,29,27,27,41,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2202622,U2112162,231,231,Passed,15,5,13,21,29,27,30,--,--,--,--,--,--,--,--,--,--,--,--,--,--,32,23,36,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2202623,U2112224,247,247,Passed,7,11,24,27,19,20,25,29,22,20,43,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2202624,U2110289,AA,AA,Absent,--,--,--,--,--,--,--,AA,AA,AA,AA,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,AA,AA,AA,AA,AA,AA,AA,AA,--,--,--,--,--,--,--
2202625,U2112578,162,162,Failed,3,4,18,8,09,07,21,20,20,14,38,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2202626,U2112386,233,233,Passed,11,4,19,21,28,26,15,--,--,--,--,--,--,--,--,--,--,--,40,36,33,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2202627,U2112680,AA,AA,Absent,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2202628,U2112148,270,270,Passed,23,15,25,30,24,17,33,19,21,23,40,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2202629,U2112408,231,231,Passed,19,15,23,33,22,19,14,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,18,16,15,37
2202630,U2112025,328,328,Passed,24,17,25,39,35,23,46,29,27,26,37,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2202631,U2112645,164,164,Failed,7,6,24,AA,03,16,12,--,--,--,--,--,--,--,--,--,--,--,30,36,30,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2202632,U2112707,AA,AA,Absent,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2202633,U2110126,190,190,Failed,--,--,--,--,--,--,--,15,14,15,42,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,5,13,11,19,8,11,11,26,--,--,--,--,--,--,--
2202634,U2110024,171,171,Failed,--,--,--,--,--,--,--,19,22,14,24,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,24,18,10,AA,--,--,--,--,9,9,7,15,--,--,--,--,--,--,--
2202635,U2112225,AA,AA,Absent,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2202636,U2112287,AA,AA,Absent,AA,AA,AA,AA,AA,AA,AA,--,--,--,--,--,--,--,--,--,--,--,--,--,--,AA,AA,AA,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2202637,U2112097,332,332,Passed,21,17,23,31,31,41,42,27,28,28,43,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2202638,U2112521,251,251,Passed,20,7,20,17,22,21,39,--,--,--,--,--,--,--,--,--,--,--,40,34,31,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2202639,U2112212,206,206,Failed,11,3,16,18,12,14,22,21,25,23,41,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2202640,U2112409,75,75,Failed,0,0,9,18,01,02,04,1,6,2,32,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2202641,U2112627,136,136,Failed,14,4,5,17,0,8,7,--,--,--,--,--,--,--,--,--,--,--,20,30,31,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2202642,U2112550,AA,AA,Absent,AA,AA,AA,AA,AA,AA,AA,--,--,--,--,AA,AA,AA,AA,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2202643,U2112080,236,236,Passed,22,12,21,36,10,21,18,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,32,31,33,--,--,--,--
2202644,U2112341,AA,AA,Absent,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2202645,U2112677,238,238,Passed,17,4,17,20,28,18,29,--,--,--,--,--,--,--,--,--,--,--,--,--,--,38,29,38,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2202646,U2112370,AA,AA,Absent,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2202647,U2110075,243,243,Passed,--,--,--,--,--,--,--,17,22,21,26,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,22,20,20,38,8,15,14,20,--,--,--,--,--,--,--,--,--,--,--
2202648,U2112667,128,128,Failed,2,1,13,17,0,5,18,--,--,--,--,12,22,8,30,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2202649,U2110196,265,265,Passed,--,--,--,--,--,--,--,25,25,14,41,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,12,20,14,27,21,17,17,32,--,--,--,--,--,--,--
2202650,U2112319,259,259,Passed,--,--,--,--,18,29,31,--,--,--,--,21,21,23,35,29,33,19,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2202651,U2112161,254,254,Passed,25,7,20,36,11,23,21,24,29,19,39,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2202652,U2112549,205,205,Elig/SE,15,5,20,31,13,11,12,--,--,--,--,--,--,--,--,--,--,--,33,37,28,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2202653,U2112176,293,293,Passed,26,11,25,29,27,33,36,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,19,24,26,37
2202654,U2112616,97,97,Failed,AA,AA,AA,28,AA,AA,AA,9,12,11,37,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2202655,U2112507,188,188,Passed,16,3,22,26,07,14,29,11,9,13,38,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2202656,U2112227,37,37,Failed,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,37,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2202657,U2112570,226,226,Passed,18,9,24,23,20,18,39,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,27,26,22,--,--,--,--
2202658,U2112002,AA,AA,Absent,AA,AA,AA,AA,AA,AA,AA,--,--,--,--,AA,AA,AA,AA,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2202659,U2112620,AA,AA,Absent,AA,AA,AA,AA,AA,AA,AA,--,--,--,--,AA,AA,AA,AA,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2202660,U2112215,198,198,Elig/SE,21,11,24,42,AA,AA,AA,--,--,--,--,28,21,19,32,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2202661,U2110023,AA,AA,Absent,--,--,--,--,--,--,--,AA,AA,AA,AA,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,AA,AA,AA,AA,AA,AA,AA,AA,--,--,--,--,--,--,--
2202662,U2112324,AA,AA,Absent,AA,AA,AA,AA,AA,AA,AA,--,--,--,--,--,--,--,--,--,--,--,--,--,--,AA,AA,AA,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2202663,U2110050,333,333,Passed,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,42,35,41,--,--,--,--,26,22,26,32,25,28,21,35,--,--,--,--,--,--,--
2202664,U2112605,220,220,Passed,22,8,22,34,06,19,21,21,10,19,38,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2202665,U2110210,AA,AA,Absent,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,AA,AA,AA,--,--,--,--,--,--,--,--,--,--,AA,AA,AA,AA,AA,AA,AA,AA,--,--,--,--,--,--,--
2202666,U2112510,308,308,Passed,23,17,23,35,26,28,39,30,22,22,43,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2202667,U2112035,264,264,Passed,22,15,17,33,28,30,39,--,--,--,--,20,15,14,31,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2202668,U2110184,263,263,Passed,--,--,--,--,--,--,--,24,8,10,40,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,17,22,24,27,19,21,20,31,--,--,--,--,--,--,--
2202669,U2110283,282,282,Passed,--,--,--,--,--,--,--,29,18,10,42,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,16,27,18,25,25,20,21,31,--,--,--,--,--,--,--
2202670,U2112349,98,98,Failed,--,--,--,--,06,06,17,--,--,--,--,14,21,13,AA,AA,AA,21,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2202671,U2112253,264,264,Passed,18,20,21,33,23,36,26,--,--,--,--,20,20,18,29,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2202672,U2110118,205,205,Passed,--,--,--,--,--,--,--,18,8,8,41,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,11,19,13,22,12,15,12,26,--,--,--,--,--,--,--
2202673,U2112558,326,326,Passed,26,23,25,38,43,27,37,--,--,--,--,21,21,31,34,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2202674,U2112555,AA,AA,Absent,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2202675,U2112159,AA,AA,Absent,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2202676,U2110332,168,168,Failed,--,--,--,--,--,--,--,10,3,13,38,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,4,14,7,24,9,11,17,18,--,--,--,--,--,--,--
2202677,U2112630,AA,AA,Absent,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2202678,U2112232,160,160,Failed,20,1,18,7,12,11,15,21,4,11,40,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2202679,U2112530,AA,AA,Absent,AA,AA,AA,AA,AA,AA,AA,--,--,--,--,--,--,--,--,--,--,--,AA,AA,AA,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2202680,U2112435,268,268,Passed,21,13,23,34,37,23,30,--,--,--,--,25,19,15,28,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2202681,U2110138,AA,AA,Absent,--,--,--,--,--,--,--,AA,AA,AA,AA,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,AA,AA,AA,AA,AA,AA,AA,AA,--,--,--,--,--,--,--
2202682,U2112190,AA,AA,Absent,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2202683,U2112195,160,160,Failed,15,18,16,16,0,0,0,22,19,15,39,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
